title,year,genre,id
A Moment in Time,1979,9,
A Moment to Talk,1982,10,
A Moody Christmas,2012,6,
A More Perfect Union,1987,8,
A More Perfect Union,2016,8,
A Moreninha,1959,18,
A Morgadinha dos Canaviais,1990,9,
A Movie Review,2012,6,
A Mulher do Prefeito,2013,6,
A Muralha,2000,3,
A Muralha,2000,9,
A Musical World,1980,9,
A Musical World,1980,15,
A Nation in Reserve,2009,8,
A Nero Wolfe Mystery,2000,1,
A Nero Wolfe Mystery,2000,9,
A Nero Wolfe Mystery,2000,16,
A New Day in Eden,1982,9,
A New Kind of Family,1979,6,
A New York Love Affair,2013,18,
A Nice Day at the Office,1972,6,
A Night at the Classic,2010,6,
A Night of Exploration,2013,8,
A Nos Amours,2008,8,
A Nos Amours,2008,18,
A Onna E Onna,1997,2,
A Outra Face da Lua,2000,14,
A Outra,2008,9,
A Padroeira,2001,1,
A Padroeira,2001,3,
A Padroeira,2001,9,
A Padroeira,2001,18,
A Pang for Brasil,2014,8,
A Parcel of Rogues,1998,8,
A Parliament of Souls,1994,8,
A Passion for Angling,1993,8,
A Passion for Churches,2005,8,
A Passionate Woman,2010,9,
A Path to Honor,2011,8,
A Peaceable Kingdom,1989,9,
A Pedra do Reino,2007,9,
A Pedra do Reino,2007,11,
A Pedra do Reino,2007,12,
A Pedra do Reino,2007,14,
A Pedra do Reino,2007,18,
A Pera picada,2008,6,
A Perfect Hero,1991,9,
A Perfect Hustle,2014,1,
A Perfect Hustle,2014,7,
A Perfect Hustle,2014,21,
A Perfect Spy,1987,21,
A Perfect State,1997,6,
A Perfect World,2014,6,
A Personal Story,2002,8,
A Personal View,1988,8,
A Picture of Britain,2005,8,
A Picture of London,2012,8,
A Pin to See the Peepshow,1973,9,
A Place Among the Undead,2016,8,
A Place Called Home,2006,9,
A Place by the Sea,2004,8,
A Place in France,2002,8,
A Place in the Sun,1998,8,
A Place in the Sun,2000,8,
A Place in the World,1979,9,
A Place of Execution,1953,21,
A Place to Call Home,2013,9,
A Place to Hide,1976,3,
A Place to Hide,1976,10,
A Planet for the Taking,1985,8,
A Poor Gentleman,1965,10,
A Porta,1989,10,
A Portrait of Robert Runcie,1980,8,
A Prairie Home Companion with Garrison Keillor,1987,10,
A Present for Dickie,1969,6,
A Primera Hora,2007,10,
A Primera Hora,2007,17,
A Prince Among Men,1997,6,
A Prison of Skin,2016,21,
A Problem Shared,2012,6,
A Produtora,2014,6,
A Puerta Abierta,2015,8,
A Pup Grows Up,2006,10,
A Question of Guilt,1980,9,
A Question of Pop,2000,14,
A Question of Sport,1970,20,
A Question of Sport,1989,20,
A Question of TV,2001,6,
A Question of TV,2001,10,
A Quiet Conspiracy,1989,21,
A Racing Car Is Born,2002,8,
A Raging Calm,1974,9,
A Recipe for Disaster,2016,8,
A Redheads Life,2015,6,
A Regra do Jogo,2015,6,
A Regra do Jogo,2015,7,
A Regra do Jogo,2015,9,
A Regra do Jogo,2015,16,
A Regra do Jogo,2015,21,
A Relevant Word,2008,9,
A Respectable Trade,1998,9,
A Roof Over My Head,1977,6,
A Roomful of Music,1965,14,
A Rough Guide to Torture,2006,8,
A Round with Pace,2002,20,
A Royal Birthday,2006,6,
A Rubovian Legend,1955,10,
A Rumor of War,1980,5,
A Rumor of War,1980,9,
A Rumor of War,1980,22,
A S K,2015,6,
A Scattering of Seeds,1998,5,
A Scattering of Seeds,1998,8,
A Scattering of Seeds,1998,9,
A Scattering of Seeds,1998,12,
A Seaside Parish,2004,8,
A Season with Irish Referees,2014,20,
A Season with Notre Dame Football,2015,20,
A Second Proposal,2004,18,
A Segunda Vez,2014,9,
A Semana com Ronald Rios,2016,6,
A Sense of Guilt,1990,9,
A Series of ONE,2015,9,
A Series of Unfortunate Events,2016,3,
A Series of Unfortunate Events,2016,9,
A Series of Unfortunate Events,2016,10,
A Series of Unfortunate People,2011,6,
A Set of Six,1990,6,
A Shared House,2015,6,
A Sharp Intake of Breath,1977,6,
A Shooting Vice,2013,1,
A Short History of Everything Else,2012,6,
A Short History of the Highrise,2013,8,
A Short from Vlad,2015,6,
A Shot at Glory,2008,20,
A Shot at Love with Tila Tequila,2007,18,
A Show Called Fred,1956,6,
A Single Girls Show,2012,6,
A Sipsirica,1980,9,
A Skirt Through History,1994,9,
A Slap on Titan,2014,1,
A Slap on Titan,2014,4,
A Slap on Titan,2014,6,
A Small Problem,1987,6,
A Smiling Ghost Story,1999,6,
A Smiling Ghost Story,1999,18,
A Soft Touch,1978,6,
A Sogra Que Deus Me Deu,1955,6,
A Solteirona,2013,6,
A Song for London,2006,8,
A Sort of Innocence,1986,9,
A South American Journey with Jonathan Dimbleby,2011,8,
A Southern Gentleman Reads Amazon Reviews,2015,6,
A Spanish Legacy,1977,8,
A Special Relationship aka Une Relation Dangereuse,2016,9,
A Spy at Evening,1981,21,
A Stab in the Dark,1992,6,
A Stand Up Mother,2011,6,
A Story with Me in It,2010,8,
A Story with Me in It,2012,8,
A Stranger in My Home,2013,9,
A Stranger on the Hills,1970,9,
A Study in Fear,2015,6,
A Study in Fear,2015,13,
A Superhero Story,2011,6,
A TV Dante,1989,9,
A Tale of Two Cities,1957,9,
A Tale of Two Cities,1957,12,
A Tale of Two Cities,1965,9,
A Tale of Two Cities,1980,9,
A Tale of Two Cities,1989,9,
A Tale of Two Cities,1989,12,
A Tale of Two Cities,1989,18,
A Tale of Two Cities,1989,22,
A Tale of Two Cities,2015,8,
A Tale of Two Rivers,1966,14,
A Taste for Blue Ribbons,1973,9,
A Taste for Death,1988,7,
A Taste for Death,1988,9,
A Taste for Death,1988,16,
A Taste of Bachelorhood,1986,9,
A Taste of China,1982,8,
A Taste of History,2008,12,
A Taste of My Life,2006,5,
A Taste of My Life,2006,8,
A Taste of Travel,2012,8,
A Taste of the World,2013,3,
A Taste of the World,2013,12,
A Taste of the World,2013,17,
A Teia,2014,1,
A Teia,2014,7,
A Teia,2014,21,
A Tell Tale Vlog,2013,6,
A Tempo,2004,14,
A Terra Prometida,2016,9,
A Terra dos Meninos Pelados,2003,9,
A Terra dos Meninos Pelados,2003,15,
A Thing Called Love,2004,9,
A Thing Called Love,2004,18,
A Thousand Apologies,2008,6,
A Thousand Million Million Ants,1985,8,
A Thousand Skies,1985,3,
A Thousand Skies,1985,5,
A Thousand Skies,1985,9,
A Thousand Skies,1985,12,
A Thousand Skies,1985,18,
A Time of AIDS,1993,8,
A Time of Day,1957,21,
A Time to Dance,1992,9,
A Time to Live,1954,9,
A Toca,2013,6,
A Todo Mecate con Alex y Pekas,2012,6,
A Totally Serious Series,2014,6,
A Touch Away,2006,9,
A Touch of Cloth,2012,1,
A Touch of Cloth,2012,6,
A Touch of Cloth,2012,7,
A Touch of Cloth,2012,16,
A Touch of Frost,1992,7,
A Touch of Frost,1992,9,
A Touch of Frost,1992,16,
A Touch of Grace,1973,6,
A Touch of Spice,1989,6,
A Touch of Venus,1968,9,
A Touch of the Norman Vaughans,1964,6,
A Touch of the Norman Vaughans,1964,14,
A Town Called Stonehenge,2016,13,
A Town Like Alice,1981,9,
A Town Like Alice,1981,18,
A Town Like Alice,1981,22,
A Travel Guide to Life,2014,10,
A Tribo dos Penas Brancas,1987,3,
A Turbulent Affair,2015,6,
A Turma do Didi,1998,6,
A Tutto Tino,2014,10,
A Twist in the Tale,1998,10,
A Vaga,2014,20,
A Velhinha que Fuma,2015,6,
